FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
114,116,Linnanmäki,Borgbacken,Linnanmäki Amusement Park,Viipurinkatu 20,Viborgsgatan 20,Helsinki,Helsingfors,CityBike Finland,32,24.9401593,60.1911411
115,117,Brahen puistikko,Braheskvären,Brahen puistikko,Sturenkatu 12,Sturegatan 12,Helsinki,Helsingfors,CityBike Finland,12,24.9481024,60.1896706
116,118,Fleminginkatu,Flemingsgatan,Fleminginkatu,Aleksis Kiven katu 30,Aleksis Kivis gata 30,Helsinki,Helsingfors,CityBike Finland,23,24.9521601,60.1895417
117,119,Gebhardinaukio,Gebhardsplatsen,Gebhardinaukio,Teollisuuskatu 1,Industrigatan 1,Helsinki,Helsingfors,CityBike Finland,20,24.9568729,60.1907096
118,120,Mäkelänkatu,Backasgatan,Mäkelänkatu,Mäkelänkatu 2,Backasgatan 2,Helsinki,Helsingfors,CityBike Finland,28,24.9635596,60.1896352
119,121,Vilhonvuorenkatu,Vilhelmsbergsgatan,Vilhonvuorenkatu,Vilhonvuorenkatu 12,Vilhelmsbergsgatan 12,Helsinki,Helsingfors,CityBike Finland,16,24.9678718,60.1864633
120,122,Lintulahdenkatu,Fågelviksgatan,Lintulahdenkatu,Lintulahdenkuja 6,Fågelviksgränden 6,Helsinki,Helsingfors,CityBike Finland,17,24.9621936,60.1837182
121,123,Näkinsilta,Näckens bro,Näkinsilta,Sörnäisten rantatie 9,Sörnas strandväg 9,Helsinki,Helsingfors,CityBike Finland,24,24.9554618,60.179765
122,124,Isoisänsilta,Farfarsbron,Isoisänsilta,Capellan puistotie 2,Capellas allé 2,Helsinki,Helsingfors,CityBike Finland,18,24.98179260578,60.18265182058
123,125,Arielinkatu,Arielgatan,Arielinkatu,Arielinkatu 14,Arielgatan 14,Helsinki,Helsingfors,CityBike Finland,20,24.97864799006,60.18479903388
124,126,Kalasatama (M),Fiskehamnen (M),Kalasatama (M),Hermannin rantatie 2c,Hermanstads strandväg 2c,Helsinki,Helsingfors,CityBike Finland,29,24.9770684,60.18755649
125,127,Teurastamo,Teurastamo,Teurastamo,Työpajankatu 2a,Verkstadsgatan 2a,Helsinki,Helsingfors,CityBike Finland,20,24.9711926,60.1896994
126,128,Päijänteentie,Päijännevägen,Päijänteentie,Päijänteentie 1,Päijännevägen 1,Helsinki,Helsingfors,CityBike Finland,15,24.9642238,60.1920576
127,129,Pernajantie,Pernåvägen,Pernajantie,Mäkelänkatu 25,Backasgatan 25,Helsinki,Helsingfors,CityBike Finland,21,24.9579931,60.1942342
128,130,Teollisuuskatu,Industrigatan,Teollisuuskatu,Teollisuuskatu 16,Industrigatan 16,Helsinki,Helsingfors,CityBike Finland,25,24.9487524,60.193486
129,131,Elimäenkatu,Elimägatan,Elimäenkatu,Elimäenkatu 24,Elimägatan 24,Helsinki,Helsingfors,CityBike Finland,24,24.9476186,60.1962627
130,132,Hollolantie,Hollolavägen,Hollolantie,Hollolantie 2,Hollolavägen 2,Helsinki,Helsingfors,CityBike Finland,12,24.95453389981,60.19588479865
131,133,Paavalinpuisto,Paulusparken,Paavalinpuisto,Hämeentie 96,Tavastvägen 96,Helsinki,Helsingfors,CityBike Finland,1,24.9614385,60.1974886
132,134,Haukilahdenkatu,Gäddviksgatan,Haukilahdenkatu,Haukilahdenkatu 6,Gäddviksgatan 6,Helsinki,Helsingfors,CityBike Finland,20,24.9676708,60.1985314
133,135,Velodrominrinne,Velodromsbrinken,Velodrominrinne,Mäkelänkatu 70,Backasgatan 70,Helsinki,Helsingfors,CityBike Finland,13,24.9440506,60.2010614
134,136,Sofianlehdonkatu,Sofielundsgatan,Sofianlehdonkatu,Isonniitynkatu 7,Storsvängen 7,Helsinki,Helsingfors,CityBike Finland,12,24.9513636,60.2032721
135,137,Arabian kauppakeskus,Arabia köpcentrum,Arabia Shopping Center,Hämeentie 111,Tavastvägen 111,Helsinki,Helsingfors,CityBike Finland,26,24.9666128,60.2027912
136,138,Arabiankatu,Arabiagatan,Arabiankatu,Arabiankatu 7,Arabiagatan 7,Helsinki,Helsingfors,CityBike Finland,14,24.9770790117786,60.206491565145
137,139,Kaironkatu,Kairogatan,Kaironkatu,Hämeentie 150,Tavastvägen 150,Helsinki,Helsingfors,CityBike Finland,16,24.97656317933,60.21003424069
138,140,Verkatehtaanpuisto,Klädesfabriksparken,Verkatehtaanpuisto,Hämeentie 159,Tavastvägen 159,Helsinki,Helsingfors,CityBike Finland,14,24.9797283,60.2137007
139,141,Intiankatu,Indiagatan,Intiankatu,Intiankatu 20,Indiagatan 20,Helsinki,Helsingfors,CityBike Finland,17,24.9676383,60.2078582
140,142,Koskelantie,Forsbyvägen,Koskelantie,Koskelantie 5,Forsbyvägen 5,Helsinki,Helsingfors,CityBike Finland,14,24.9465139,60.208749
141,143,Kuikkarinne,Kuikkarinne,Kuikkarinne,Isokaari 10,Storsvängen 10,Helsinki,Helsingfors,CityBike Finland,12,24.86930605276,60.15708560052
142,144,Käpyläntie,Kottbyvägen,Käpyläntie,Käpyläntie 1,Kottbyvägen 1,Helsinki,Helsingfors,CityBike Finland,14,24.9588108,60.2139043
143,145,Pohjolankatu,Pohjolagatan,Pohjolankatu,Pohjolankatu 1,Pohjolagatan 1,Helsinki,Helsingfors,CityBike Finland,12,24.9437964,60.213421
144,146,Pohjolanaukio,Pohjolaplatsen,Pohjolanaukio,Pohjolankatu 40,Pohjolagatan 40,Helsinki,Helsingfors,CityBike Finland,16,24.9544112,60.2172043
145,147,Käpylän asema,Kottby station,Käpylä station,Panuntie 4,Panuvägen 4,Helsinki,Helsingfors,CityBike Finland,19,24.9479290250383,60.2208057097763
