X,Y,FID,TERMINAALI,NIMI,SOLX,SOLY,SOLOMX,SOLOMY,LYHYTTUNNUS,VERKKO,PYSAKIT
25.04335335938277,60.293298977944154,81,4000011,Tikkurilan matkakeskus,6687347,2557880,60.293302,25.043366, ,1,"4610206,4610241,4610242,4610243,4610244,4610245,4610246,4610247,4610248,4610249,4610250,4610251,4610252,4610253,4610254,4610255,4610207"
24.854853047741788,60.261856358308414,82,4000201,Myyrmäen asema,6683694,2547501,60.261859,24.854866, ,4,"4150501,4150551"
24.853489672453197,60.27055368675785,83,4000202,Louhelan asema,6684662,2547413,60.270557,24.853503, ,4,"4150502,4150552"
24.852509725694595,60.278036798851403,84,4000203,Martinlaakson asema,6685495,2547348,60.278040,24.852523, ,4,"4170501,4170551"
24.848066125752059,60.285820287142307,85,4000204,Vantaankosken asema,6686359,2547091,60.285823,24.848079, ,4,"4170502,4170552"
25.044099832762793,60.292323708082868,86,4000205,Tikkurilan asema,6687239,2557923,60.292327,25.044112, ,4,"4610501,4610502,4610503,4610551,4610553"
25.049112602949307,60.303172129869004,87,4000206,Hiekkaharjun asema,6688452,2558181,60.303175,25.049125, ,4,"4600501,4600551"
25.060121451491128,60.323621887864185,88,4000207,Koivukylän asema,6690740,2558753,60.323625,25.060133, ,4,"4740501,4740551"
25.068436823410611,60.332719837012711,89,4000208,Rekolan asema,6691761,2559196,60.332723,25.068449, ,4,"4730501,4730551"
25.078426504169759,60.351255429350822,90,4000209,Korson asema,6693835,2559714,60.351259,25.078438, ,4,"4810501,4810551"
24.84368450871904,60.295389387344741,91,4000210,Vehkalan asema,6687422,2546835,60.295392,24.843698, ,4,"4250501,4250551"
24.846415909793389,60.314310810748204,92,4000211,Kivistön asema,6689532,2546959,60.314314,24.846429, ,4,"4230501,4230551"
24.955595718279845,60.303769467169651,93,4000212,Aviapoliksen asema,6688440,2553010,60.303773,24.955608, ,4,"4520501,4520551"
24.968649309933131,60.315783461353099,94,4000213,Lentoaseman asema,6689789,2553712,60.315786,24.968662, ,4,"4530501,4530551"
25.039056968043738,60.322594314565038,95,4000214,Leinelän asema,6690607,2557591,60.322598,25.039069, ,4,"4700501,4700551"
24.440872060983718,60.11973701983252,96,6000001,Kirkkonummi,6667635,2524690,60.119740,24.440888, ,1,"6040287,6040288,6040289,6040290,6040291,6040292,6040293,6040295,6040296"
24.550285785817692,60.172688075042672,97,6000201,Luoman asema,6673580,2530724,60.172691,24.550301, ,4,"6010502,6010552"
24.539174431475764,60.158641983504367,98,6000202,Masalan asema,6672010,2530120,60.158645,24.539190, ,4,"6010503,6010553"
24.511996385653376,60.137504401283707,99,6000203,Jorvaksen asema,6669643,2528629,60.137507,24.512012, ,4,"6010504,6010554"
