Selite_en,Longitude,Latitude,N_GK25,E_GK25,Name_fi,Name_en
daycare,25.096205,60.360195,6694208,25505310,Ilvespuiston päiväkoti,
daycare,24.806728,60.254417,6682434,25489298,Hämevaaran päiväkoti,
daycare,24.767023,60.242977,6681167,25487095,Päiväkoti Humiseva,
daycare,24.660175,60.17422,6673532,25481138,Ohrakasken päiväkoti,
daycare,25.071445,60.35117,6693201,25503944,Ankkalammen päiväkoti,
daycare,24.996136,60.22963,6679657,25499786,Päiväkoti Vikkeri,Day care Vikkeri
daycare,25.084522,60.223312,6678956,25504685,Päiväkoti Puro,Day care Puro
daycare,25.024286,60.28846,6686212,25501343,Montessoripäiväkoti Rantakaisla,
daycare,25.03456,60.198948,6676239,25501917,Päiväkoti Herttoniemi,Day care Herttoniemi
daycare,25.077118,60.3213,6689873,25504261,Tarhapuiston päiväkoti,
daycare,24.804909,60.21628,6678186,25489185,Roosaliinan päiväkoti,
daycare,25.08704,60.234943,6680252,25504822,Päiväkoti Kontula,Day care Kontula
daycare,25.037212,60.167526,6672738,25502066,Päiväkoti Tahvonlahti,Day care Tahvonlahti
daycare,25.036205,60.29604,6687056,25502002,Montessoripäiväkoti Orvokki,
daycare,25.014463,60.23056,6679761,25500801,Päiväkoti Kivikko,Day care Kivikko
daycare,24.674183,60.139057,6669610,25481896,Soukankujan päiväkoti,
daycare,24.59271,60.187412,6675023,25477402,Riiantien päiväkoti,
daycare,24.687983,60.19801,6676175,25482694,Luhtaniityn päiväkoti,
daycare,24.74053,60.155422,6671417,25485590,Pikku-Mirja ryhmäperhepäiväkoti,
daycare,24.605015,60.195045,6675869,25478090,Liikuntapäiväkoti Touhula Palolampi,
daycare,25.095333,60.34158,6692134,25505265,Tähdenlennon päiväkoti,
daycare,24.741451,60.159058,6671822,25485642,Päiväkoti Punatulkku,
daycare,25.026337,60.2265,6679308,25501460,Päiväkoti Tähkä,Day care Tähkä
daycare,25.119411,60.198627,6676209,25506623,Päiväkoti Siima,Day care Siima
daycare,24.803917,60.2017,6676561,25489125,Laajalahden päiväkoti,Laajalahden päiväkoti
daycare,25.073511,60.36931,6695222,25504056,Vallinojan päiväkoti,
daycare,25.033072,60.227425,6679412,25501833,Päiväkoti Auringonkukka,Day care Auringonkukka
daycare,24.867817,60.266388,6683760,25492684,Kaivokselan päiväkoti,
daycare,24.784887,60.175064,6673597,25488060,Jousenkaaren päiväkoti,Jousenkaaren päiväkoti
daycare,25.058374,60.30149,6687665,25503228,Vehnätien päiväkoti,
daycare,24.808895,60.214966,6678038,25489406,Ruusun päiväkoti,
daycare,24.855669,60.22658,6679326,25492001,Päiväkoti Kolkka,Day care Kolkka
daycare,25.10811,60.249805,6681909,25505987,Rajakylän päiväkoti,
daycare,25.03293,60.277378,6684977,25501822,Päiväkoti Puistikko,Day care Puistikko
daycare,24.788504,60.21379,6677911,25488275,Kilonpuiston lastentalo,
daycare,24.94594,60.291782,6686583,25497010,Pakkalanrinteen päiväkoti,
daycare,24.981657,60.186085,6674805,25498982,Päiväkoti Pikkutylli,Day care Pikkutylli
daycare,24.950151,60.18171,6674319,25497234,Päiväkoti Kaleva,Day care Kaleva
daycare,24.813196,60.21572,6678122,25489644,Kartanonpuiston päiväkoti,
daycare,25.043505,60.297432,6687212,25502406,Veturipolun päiväkoti,
daycare,24.741005,60.15164,6670996,25485614,Nuottaniemen päiväkoti,
daycare,25.06839,60.2333,6680068,25503789,Päiväkoti Inari,Day care Inari
daycare,24.851189,60.32887,6690723,25491779,Husaaritien päiväkoti,
